,price,normalized-loses,horsepower,bore,stroke,peak-rpm,engine-size
0,13495.0,122.0,111.0,3.47,2.68,5000.0,130
1,16500.0,122.0,111.0,3.47,2.68,5000.0,130
2,16500.0,122.0,154.0,2.68,3.47,5000.0,152
3,13950.0,164.0,102.0,3.19,3.4,5500.0,109
4,17450.0,164.0,115.0,3.19,3.4,5500.0,136
5,15250.0,122.0,110.0,3.19,3.4,5500.0,136
6,17710.0,158.0,110.0,3.19,3.4,5500.0,136
7,18920.0,122.0,110.0,3.19,3.4,5500.0,136
8,23875.0,158.0,140.0,3.13,3.4,5500.0,131
9,13207.129353233831,122.0,160.0,3.13,3.4,5500.0,131
10,16430.0,192.0,101.0,3.5,2.8,5800.0,108
11,16925.0,192.0,101.0,3.5,2.8,5800.0,108
12,20970.0,188.0,121.0,3.31,3.19,4250.0,164
13,21105.0,188.0,121.0,3.31,3.19,4250.0,164
14,24565.0,122.0,121.0,3.31,3.19,4250.0,164
15,30760.0,122.0,182.0,3.62,3.39,5400.0,209
16,41315.0,122.0,182.0,3.62,3.39,5400.0,209
17,36880.0,122.0,182.0,3.62,3.39,5400.0,209
18,5151.0,121.0,48.0,2.91,3.03,5100.0,61
19,6295.0,98.0,70.0,3.03,3.11,5400.0,90
20,6575.0,81.0,70.0,3.03,3.11,5400.0,90
21,5572.0,118.0,68.0,2.97,3.23,5500.0,90
22,6377.0,118.0,68.0,2.97,3.23,5500.0,90
23,7957.0,118.0,102.0,3.03,3.39,5500.0,98
24,6229.0,148.0,68.0,2.97,3.23,5500.0,90
25,6692.0,148.0,68.0,2.97,3.23,5500.0,90
26,7609.0,148.0,68.0,2.97,3.23,5500.0,90
27,8558.0,148.0,102.0,3.03,3.39,5500.0,98
28,8921.0,110.0,88.0,3.34,3.46,5000.0,122
29,12964.0,145.0,145.0,3.6,3.9,5000.0,156
30,6479.0,137.0,58.0,2.91,3.41,4800.0,92
31,6855.0,137.0,76.0,2.91,3.41,6000.0,92
32,5399.0,101.0,60.0,2.91,3.07,5500.0,79
33,6529.0,101.0,76.0,2.91,3.41,6000.0,92
34,7129.0,101.0,76.0,2.91,3.41,6000.0,92
35,7295.0,110.0,76.0,2.91,3.41,6000.0,92
36,7295.0,78.0,76.0,2.92,3.41,6000.0,92
37,7895.0,106.0,86.0,3.15,3.58,5800.0,110
38,9095.0,106.0,86.0,3.15,3.58,5800.0,110
39,8845.0,85.0,86.0,3.15,3.58,5800.0,110
40,10295.0,85.0,86.0,3.15,3.58,5800.0,110
41,12945.0,85.0,101.0,3.15,3.58,5800.0,110
42,10345.0,107.0,100.0,3.15,3.58,5500.0,110
43,6785.0,122.0,78.0,3.31,3.23,4800.0,111
44,13207.129353233831,122.0,70.0,3.03,3.11,5400.0,90
45,13207.129353233831,122.0,70.0,3.03,3.11,5400.0,90
46,11048.0,122.0,90.0,3.43,3.23,5000.0,119
47,32250.0,145.0,176.0,3.63,4.17,4750.0,258
48,35550.0,122.0,176.0,3.63,4.17,4750.0,258
49,36000.0,122.0,262.0,3.54,2.76,5000.0,326
50,5195.0,104.0,68.0,3.03,3.15,5000.0,91
51,6095.0,104.0,68.0,3.03,3.15,5000.0,91
52,6795.0,104.0,68.0,3.03,3.15,5000.0,91
53,6695.0,113.0,68.0,3.03,3.15,5000.0,91
54,7395.0,113.0,68.0,3.08,3.15,5000.0,91
55,10945.0,150.0,101.0,3.3297512437810957,3.2554228855721337,6000.0,70
56,11845.0,150.0,101.0,3.3297512437810957,3.2554228855721337,6000.0,70
57,13645.0,150.0,101.0,3.3297512437810957,3.2554228855721337,6000.0,70
58,15645.0,150.0,135.0,3.3297512437810957,3.2554228855721337,6000.0,80
59,8845.0,129.0,84.0,3.39,3.39,4800.0,122
60,8495.0,115.0,84.0,3.39,3.39,4800.0,122
61,10595.0,129.0,84.0,3.39,3.39,4800.0,122
62,10245.0,115.0,84.0,3.39,3.39,4800.0,122
63,10795.0,122.0,64.0,3.39,3.39,4650.0,122
64,11245.0,115.0,84.0,3.39,3.39,4800.0,122
65,18280.0,118.0,120.0,3.76,3.16,5000.0,140
66,18344.0,122.0,72.0,3.43,3.64,4200.0,134
67,25552.0,93.0,123.0,3.58,3.64,4350.0,183
68,28248.0,93.0,123.0,3.58,3.64,4350.0,183
69,28176.0,93.0,123.0,3.58,3.64,4350.0,183
70,31600.0,93.0,123.0,3.58,3.64,4350.0,183
71,34184.0,122.0,155.0,3.46,3.1,4750.0,234
72,35056.0,142.0,155.0,3.46,3.1,4750.0,234
73,40960.0,122.0,184.0,3.8,3.35,4500.0,308
74,45400.0,122.0,184.0,3.8,3.35,4500.0,304
75,16503.0,122.0,175.0,3.78,3.12,5000.0,140
76,5389.0,161.0,68.0,2.97,3.23,5500.0,92
77,6189.0,161.0,68.0,2.97,3.23,5500.0,92
78,6669.0,161.0,68.0,2.97,3.23,5500.0,92
79,7689.0,161.0,102.0,3.03,3.39,5500.0,98
80,9959.0,153.0,116.0,3.17,3.46,5500.0,110
81,8499.0,153.0,88.0,3.35,3.46,5000.0,122
82,12629.0,122.0,145.0,3.58,3.86,5000.0,156
83,14869.0,122.0,145.0,3.59,3.86,5000.0,156
84,14489.0,122.0,145.0,3.59,3.86,5000.0,156
85,6989.0,125.0,88.0,3.35,3.46,5000.0,122
86,8189.0,125.0,88.0,3.35,3.46,5000.0,122
87,9279.0,125.0,116.0,3.17,3.46,5500.0,110
88,9279.0,137.0,116.0,3.17,3.46,5500.0,110
89,5499.0,128.0,69.0,3.15,3.29,5200.0,97
90,7099.0,128.0,55.0,2.99,3.47,4800.0,103
91,6649.0,128.0,69.0,3.15,3.29,5200.0,97
92,6849.0,122.0,69.0,3.15,3.29,5200.0,97
93,7349.0,103.0,69.0,3.15,3.29,5200.0,97
94,7299.0,128.0,69.0,3.15,3.29,5200.0,97
95,7799.0,128.0,69.0,3.15,3.29,5200.0,97
96,7499.0,122.0,69.0,3.15,3.29,5200.0,97
97,7999.0,103.0,69.0,3.15,3.29,5200.0,97
98,8249.0,168.0,69.0,3.15,3.29,5200.0,97
99,8949.0,106.0,97.0,3.33,3.47,5200.0,120
100,9549.0,106.0,97.0,3.33,3.47,5200.0,120
101,13499.0,128.0,152.0,3.43,3.27,5200.0,181
102,14399.0,108.0,152.0,3.43,3.27,5200.0,181
103,13499.0,108.0,152.0,3.43,3.27,5200.0,181
104,17199.0,194.0,160.0,3.43,3.27,5200.0,181
105,19699.0,194.0,200.0,3.43,3.27,5200.0,181
106,18399.0,231.0,160.0,3.43,3.27,5200.0,181
107,11900.0,161.0,97.0,3.46,3.19,5000.0,120
108,13200.0,161.0,95.0,3.7,3.52,4150.0,152
109,12440.0,122.0,97.0,3.46,3.19,5000.0,120
110,13860.0,122.0,95.0,3.7,3.52,4150.0,152
111,15580.0,161.0,95.0,3.46,2.19,5000.0,120
112,16900.0,161.0,95.0,3.7,3.52,4150.0,152
113,16695.0,122.0,95.0,3.46,2.19,5000.0,120
114,17075.0,122.0,95.0,3.7,3.52,4150.0,152
115,16630.0,161.0,97.0,3.46,3.19,5000.0,120
116,17950.0,161.0,95.0,3.7,3.52,4150.0,152
117,18150.0,161.0,142.0,3.61,3.21,5600.0,134
118,5572.0,119.0,68.0,2.97,3.23,5500.0,90
119,7957.0,119.0,102.0,3.03,3.39,5500.0,98
120,6229.0,154.0,68.0,2.97,3.23,5500.0,90
121,6692.0,154.0,68.0,2.97,3.23,5500.0,90
122,7609.0,154.0,68.0,2.97,3.23,5500.0,98
123,8921.0,74.0,88.0,3.35,3.46,5000.0,122
124,12764.0,122.0,145.0,3.59,3.86,5000.0,156
125,22018.0,186.0,143.0,3.94,3.11,5500.0,151
126,32528.0,122.0,207.0,3.74,2.9,5900.0,194
127,34028.0,122.0,207.0,3.74,2.9,5900.0,194
128,37028.0,122.0,207.0,3.74,2.9,5900.0,194
129,13207.129353233831,122.0,288.0,3.94,3.11,5750.0,203
130,9295.0,122.0,104.25615763546799,3.46,3.9,5125.369458128079,132
131,9895.0,122.0,104.25615763546799,3.46,3.9,5125.369458128079,132
132,11850.0,150.0,110.0,3.54,3.07,5250.0,121
133,12170.0,104.0,110.0,3.54,3.07,5250.0,121
134,15040.0,150.0,110.0,2.54,2.07,5250.0,121
135,15510.0,104.0,110.0,3.54,3.07,5250.0,121
136,18150.0,150.0,160.0,3.54,3.07,5500.0,121
137,18620.0,104.0,160.0,3.54,3.07,5500.0,121
138,5118.0,83.0,69.0,3.62,2.36,4900.0,97
139,7053.0,83.0,73.0,3.62,2.64,4400.0,108
140,7603.0,83.0,73.0,3.62,2.64,4400.0,108
141,7126.0,102.0,82.0,3.62,2.64,4800.0,108
142,7775.0,102.0,82.0,3.62,2.64,4400.0,108
143,9960.0,102.0,94.0,3.62,2.64,5200.0,108
144,9233.0,102.0,82.0,3.62,2.64,4800.0,108
145,11259.0,102.0,111.0,3.62,2.64,4800.0,108
146,7463.0,89.0,82.0,3.62,2.64,4800.0,108
147,10198.0,89.0,94.0,3.62,2.64,5200.0,108
148,8013.0,85.0,82.0,3.62,2.64,4800.0,108
149,11694.0,85.0,111.0,3.62,2.64,4800.0,108
150,5348.0,87.0,62.0,3.05,3.03,4800.0,92
151,6338.0,87.0,62.0,3.05,3.03,4800.0,92
152,6488.0,74.0,62.0,3.05,3.03,4800.0,92
153,6918.0,77.0,62.0,3.05,3.03,4800.0,92
154,7898.0,81.0,62.0,3.05,3.03,4800.0,92
155,8778.0,91.0,62.0,3.05,3.03,4800.0,92
156,6938.0,91.0,70.0,3.19,3.03,4800.0,98
157,7198.0,91.0,70.0,3.19,3.03,4800.0,98
158,7898.0,91.0,56.0,3.27,3.35,4500.0,110
159,7788.0,91.0,56.0,3.27,3.35,4500.0,110
160,7738.0,91.0,70.0,3.19,3.03,4800.0,98
161,8358.0,91.0,70.0,3.19,3.03,4800.0,98
162,9258.0,91.0,70.0,3.19,3.03,4800.0,98
163,8058.0,168.0,70.0,3.19,3.03,4800.0,98
164,8238.0,168.0,70.0,3.19,3.03,4800.0,98
165,9298.0,168.0,112.0,3.24,3.08,6600.0,98
166,9538.0,168.0,112.0,3.24,3.08,6600.0,98
167,8449.0,134.0,116.0,3.62,3.5,4800.0,146
168,9639.0,134.0,116.0,3.62,3.5,4800.0,146
169,9989.0,134.0,116.0,3.62,3.5,4800.0,146
170,11199.0,134.0,116.0,3.62,3.5,4800.0,146
171,11549.0,134.0,116.0,3.62,3.5,4800.0,146
172,17669.0,134.0,116.0,3.62,3.5,4800.0,146
173,8948.0,65.0,92.0,3.31,3.54,4200.0,122
174,10698.0,65.0,73.0,3.27,3.35,4500.0,110
175,9988.0,65.0,92.0,3.31,3.54,4200.0,122
176,10898.0,65.0,92.0,3.31,3.54,4200.0,122
177,11248.0,65.0,92.0,3.31,3.54,4200.0,122
178,16558.0,197.0,161.0,3.27,3.35,5200.0,171
179,15998.0,197.0,161.0,3.27,3.35,5200.0,171
180,15690.0,90.0,156.0,3.27,3.35,5200.0,171
181,15750.0,122.0,156.0,3.27,3.35,5200.0,161
182,7775.0,122.0,52.0,3.01,3.4,4800.0,97
183,7975.0,122.0,85.0,3.19,3.4,5250.0,109
184,7995.0,94.0,52.0,3.01,3.4,4800.0,97
185,8195.0,94.0,85.0,3.19,3.4,5250.0,109
186,8495.0,94.0,85.0,3.19,3.4,5250.0,109
187,9495.0,94.0,68.0,3.01,3.4,4500.0,97
188,9995.0,94.0,100.0,3.19,3.4,5500.0,109
189,11595.0,122.0,90.0,3.19,3.4,5500.0,109
190,9980.0,256.0,90.0,3.19,3.4,5500.0,109
191,13295.0,122.0,110.0,3.19,3.4,5500.0,136
192,13845.0,122.0,68.0,3.01,3.4,4500.0,97
193,12290.0,122.0,88.0,3.19,3.4,5500.0,109
194,12940.0,103.0,114.0,3.78,3.15,5400.0,141
195,13415.0,74.0,114.0,3.78,3.15,5400.0,141
196,15985.0,103.0,114.0,3.78,3.15,5400.0,141
197,16515.0,74.0,114.0,3.78,3.15,5400.0,141
198,18420.0,103.0,162.0,3.62,3.15,5100.0,130
199,18950.0,74.0,162.0,3.62,3.15,5100.0,130
200,16845.0,95.0,114.0,3.78,3.15,5400.0,141
201,19045.0,95.0,160.0,3.78,3.15,5300.0,141
202,21485.0,95.0,134.0,3.58,2.87,5500.0,173
203,22470.0,95.0,106.0,3.01,3.4,4800.0,145
204,22625.0,95.0,114.0,3.78,3.15,5400.0,141
